sign_id,unicode_codepoint,codepoint_decimal,unicode_char,unicode_name,unicode_block,auto_label,png_path,has_manual_annotation,gardiner_code,zh_name,en_name,phonetic_value,meaning_zh,meaning_en,related_terms,text_search_terms,category,annotation_source,processed_png_path,relief_variant,relief_png_path,relief_generation_method,view_name,dinov2_score,global_rank,confidence_level
U_131D7,U+131D7,78295,𓇗,EGYPTIAN HIEROGLYPH M026,Egyptian Hieroglyphs,M026,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_131D7.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_131D7_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_131D7_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.6412186,19,中
U_132FC,U+132FC,78588,𓋼,EGYPTIAN HIEROGLYPH S036,Egyptian Hieroglyphs,S036,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132FC.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132FC_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132FC_relief_soft_shadow.png,synthetic_stone_relief_v1,original,0.6397805,20,中
U_1324B,U+1324B,78411,𓉋,EGYPTIAN HIEROGLYPH NU019,Egyptian Hieroglyphs,NU019,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1324B.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1324B_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1324B_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.6383445,21,中
U_13239,U+13239,78393,𓈹,EGYPTIAN HIEROGLYPH NU004,Egyptian Hieroglyphs,NU004,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13239.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13239_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13239_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.6368923,22,中
U_13223,U+13223,78371,𓈣,EGYPTIAN HIEROGLYPH NL004,Egyptian Hieroglyphs,NL004,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13223.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13223_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13223_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.63649434,23,中
U_132BB,U+132BB,78523,𓊻,EGYPTIAN HIEROGLYPH R010,Egyptian Hieroglyphs,R010,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132BB.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132BB_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132BB_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.6336032,24,中
U_133B3,U+133B3,78771,𓎳,EGYPTIAN HIEROGLYPH W004,Egyptian Hieroglyphs,W004,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_133B3.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_133B3_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_133B3_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.6326736,25,中
U_1323C,U+1323C,78396,𓈼,EGYPTIAN HIEROGLYPH NU007,Egyptian Hieroglyphs,NU007,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1323C.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1323C_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1323C_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.63229877,26,中
U_130C1,U+130C1,78017,𓃁,EGYPTIAN HIEROGLYPH D059,Egyptian Hieroglyphs,D059,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_130C1.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_130C1_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_130C1_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.6312907,27,中
U_13225,U+13225,78373,𓈥,EGYPTIAN HIEROGLYPH NL005A,Egyptian Hieroglyphs,NL005A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13225.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13225_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13225_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.6302519,28,中
