epoch,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5,epoch_time_sec
1,2.3792369398172584,0.47706887798273817,0.6278558131663564,0.682179725841936,1.1381256292864552,0.7431264728986646,0.8562450903377847,0.8868813825608798,175.26871919631958
2,0.8430523462435945,0.8292435268234896,0.9285835166694872,0.9531223557285496,0.5721205801637924,0.8845247446975648,0.96700706991359,0.9827179890023566,183.25003480911255
3,0.38883800650030287,0.9321374174987308,0.9864613301743104,0.9937383652056185,0.352925162425869,0.9167321288295365,0.9842890809112333,0.9897879025923016,187.2152624130249
4,0.20062290299491525,0.9695379928921983,0.9971230326620409,0.998646133017431,0.286304102647239,0.9387274155538099,0.98586017282011,0.99057344854674,176.1965937614441
5,0.1194147334488783,0.9857843966830259,0.9994922998815366,0.9998307666271788,0.22743599281850427,0.9442262372348782,0.9890023566378633,0.9945011783189317,173.35309433937073
6,0.08032454393664115,0.9891690641394483,0.9996615332543578,1.0,0.23305669586113467,0.9402985074626866,0.9890023566378633,0.99057344854674,170.75387573242188
7,0.04855556746279352,0.9959383990522931,1.0,1.0,0.21208497764833875,0.9457973291437549,0.9913589945011784,0.9937156323644933,171.52197003364563
8,0.039176829068475943,0.9954306989338297,1.0,1.0,0.23262969057389535,0.9300864100549883,0.99057344854674,0.9945011783189317,172.70701932907104
9,0.03844960855487479,0.9954306989338297,1.0,1.0,0.20493939160738792,0.9395129615082483,0.9882168106834249,0.9913589945011784,174.60512232780457
10,0.028053338533681266,0.9969537992892198,0.9998307666271788,1.0,0.18962953562167154,0.9520816967792616,0.99057344854674,0.992930086410055,170.50022625923157
